id,group,action
379753,experiment,view
899845,control,view
267967,control,view
753809,control,view
719623,control,view
385580,control,view
591429,experiment,view
750247,control,view
286468,control,view
545233,experiment,view
363247,experiment,view
196394,experiment,view
765258,control,view
366563,experiment,view
889614,control,view
713308,control,view
416107,control,view
443068,control,view
465907,control,view
567597,experiment,view
483898,control,view
865342,experiment,view
459793,control,view
766310,control,view
341296,experiment,view
711194,experiment,view
281358,control,view
772017,experiment,view
598839,control,view
206958,control,view
774659,experiment,view
635131,control,view
239106,experiment,view
230382,control,view
455133,experiment,view
262739,experiment,view
218707,control,view
746639,experiment,view
680411,control,view
780882,experiment,view
465773,experiment,view
349887,control,view
399132,control,view
651399,control,view
214680,control,view
787386,experiment,view
644656,experiment,view
379791,experiment,view
245915,experiment,view
705033,control,view
193411,experiment,view
790551,experiment,view
767609,experiment,view
299833,control,view
703093,control,view
542803,experiment,view
500707,experiment,view
536917,experiment,view
249894,control,view
896286,experiment,view
463983,control,view
448767,experiment,view
538636,experiment,view
919134,control,view
345500,experiment,view
781753,control,view
915791,control,view
880520,control,view
323552,control,view
228679,control,view
587553,experiment,view
740248,control,view
243720,control,view
205041,experiment,view
863437,control,view
882036,control,view
869983,control,view
453574,control,view
212064,control,view
511891,experiment,view
870542,control,view
252570,control,view
928290,control,view
741623,control,view
291012,control,view
321506,control,view
416422,control,view
579470,experiment,view
888850,control,view
564360,experiment,view
260049,experiment,view
501508,control,view
762826,experiment,view
219732,experiment,view
509390,control,view
845730,experiment,view
362969,control,view
301871,experiment,view
477296,control,view
499872,control,view
374718,experiment,view
723334,experiment,view
779197,experiment,view
464439,control,view
731502,experiment,view
689706,experiment,view
739780,control,view
539359,control,view
305140,control,view
624461,experiment,view
218456,control,view
815877,experiment,view
419507,experiment,view
695562,experiment,view
389475,control,view
407101,control,view
669528,experiment,view
694343,control,view
475961,control,view
666419,experiment,view
832787,control,view
373400,experiment,view
190548,control,view
513862,experiment,view
610921,control,view
930672,experiment,view
355698,experiment,view
705712,control,view
611082,control,view
757471,experiment,view
617995,control,view
264374,experiment,view
897446,control,view
821492,experiment,view
541048,control,view
907957,control,view
466380,control,view
682931,experiment,view
566421,experiment,view
352038,experiment,view
206822,control,view
700428,experiment,view
461806,control,view
789263,experiment,view
734158,experiment,view
424944,control,view
430081,control,view
481009,experiment,view
651476,experiment,view
786395,experiment,view
447503,experiment,view
754580,experiment,view
626851,experiment,view
495947,experiment,view
715396,experiment,view
484981,control,view
344385,experiment,view
700226,control,view
479906,experiment,view
705136,experiment,view
736629,experiment,view
563139,experiment,view
673786,experiment,view
837196,control,view
694284,experiment,view
466813,experiment,view
503542,control,view
769308,control,view
862665,control,view
293929,control,view
793329,control,view
519531,control,view
280886,control,view
363933,experiment,view
904837,experiment,view
599435,control,view
541737,experiment,view
472549,experiment,view
557131,experiment,view
853315,experiment,view
624054,control,view
276768,control,view
244696,experiment,view
453393,experiment,view
609757,control,view
837373,experiment,view
644262,control,view
538483,experiment,view
549876,experiment,view
777614,experiment,view
282972,control,view
619271,experiment,view
492310,experiment,view
450917,experiment,view
432303,experiment,view
858366,experiment,view
643792,control,view
325612,experiment,view
491933,experiment,view
724915,control,view
486480,experiment,view
315422,experiment,view
762327,control,view
670007,experiment,view
545773,control,view
470775,control,view
185833,experiment,view
538982,experiment,view
275302,control,view
319243,control,view
245658,control,view
299862,control,view
472155,control,view
326407,control,view
934612,control,view
918968,control,view
776037,control,view
560254,control,view
797349,experiment,view
187491,experiment,view
215954,control,view
755917,control,view
536224,control,view
559008,control,view
444125,experiment,view
929545,experiment,view
531027,control,view
606134,experiment,view
820069,control,view
394111,control,view
768055,control,view
668055,control,view
803365,control,view
661254,control,view
317050,experiment,view
668906,experiment,view
748865,control,view
817468,experiment,view
616297,control,view
510217,control,view
465701,control,view
653158,control,view
805518,control,view
570330,control,view
775110,control,view
364350,experiment,view
636287,control,view
602481,control,view
659912,control,view
704505,experiment,view
303048,control,view
868088,experiment,view
878676,experiment,view
624903,control,view
304748,control,view
781131,experiment,view
873030,experiment,view
846059,experiment,view
294426,control,view
908540,control,view
315964,control,view
920410,control,view
251427,experiment,view
235055,control,view
711508,control,view
541681,experiment,view
533689,control,view
821136,control,view
728508,control,view
844210,control,view
853302,control,view
471116,control,view
365960,experiment,view
503146,experiment,view
593972,control,view
515869,control,view
190376,experiment,view
795888,control,view
825501,control,view
414939,experiment,view
472566,control,view
291076,control,view
436733,experiment,view
707813,experiment,view
573913,experiment,view
461484,control,view
330382,experiment,view
815211,experiment,view
188490,control,view
864324,experiment,view
777148,experiment,view
735764,experiment,view
438375,experiment,view
375850,experiment,view
655457,experiment,view
315734,experiment,view
334997,control,view
383758,experiment,view
550085,experiment,view
240417,control,view
664725,control,view
759251,experiment,view
787855,experiment,view
762613,experiment,view
581822,experiment,view
608382,experiment,view
442161,control,view
600078,control,view
607353,control,view
363115,experiment,view
787970,control,view
786809,experiment,view
618261,control,view
696876,control,view
359068,experiment,view
779578,experiment,view
486290,experiment,view
695886,control,view
633695,experiment,view
370007,experiment,view
213365,control,view
385025,control,view
480220,experiment,view
432652,experiment,view
222262,control,view
890631,control,view
908978,control,view
667756,control,view
237737,experiment,view
295868,control,view
928645,control,view
573272,experiment,view
219387,control,view
461499,control,view
814142,experiment,view
317058,experiment,view
260929,experiment,view
526025,control,view
622996,experiment,view
673856,control,view
875285,experiment,view
755063,experiment,view
237010,control,view
634064,control,view
605986,control,view
274472,experiment,view
276001,control,view
344313,experiment,view
264617,experiment,view
695814,experiment,view
436692,control,view
635688,control,view
901786,experiment,view
748144,experiment,view
930259,control,view
314466,experiment,view
684599,control,view
776712,experiment,view
866456,experiment,view
622720,experiment,view
371698,experiment,view
846529,experiment,view
686051,control,view
838724,control,view
765312,experiment,view
621427,control,view
352876,experiment,view
700605,control,view
842367,experiment,view
551417,control,view
452564,control,view
597598,control,view
906853,control,view
643338,experiment,view
894781,control,view
258772,control,view
628326,control,view
337358,experiment,view
805307,experiment,view
762843,control,view
259709,experiment,view
638979,control,view
215652,control,view
296623,control,view
845349,experiment,view
880543,control,view
335887,control,view
677466,control,view
239041,experiment,view
651014,control,view
264901,experiment,view
757933,experiment,view
735865,experiment,view
629874,control,view
224930,experiment,view
382094,control,view
683160,control,view
487123,control,view
300164,control,view
420978,control,view
367437,experiment,view
512959,experiment,view
740892,control,view
811601,experiment,view
338648,control,view
689122,control,view
214733,control,view
405266,control,view
616116,experiment,view
389735,experiment,view
805459,control,view
568937,experiment,view
358509,control,view
249216,control,view
305584,experiment,view
569917,control,view
262692,experiment,view
891797,experiment,view
553405,experiment,view
306130,control,view
703148,control,view
316905,experiment,view
633650,experiment,view
892144,control,view
334973,experiment,view
767777,experiment,view
200527,control,view
902814,control,view
898026,control,view
889795,control,view
508537,control,view
261381,control,view
375979,experiment,view
605309,control,view
856961,experiment,view
804291,control,view
387927,control,view
352709,experiment,view
627657,control,view
397362,control,view
223375,experiment,view
582618,control,view
681235,control,view
626553,control,view
793482,control,view
390289,control,view
855500,experiment,view
260441,control,view
216335,control,view
665088,experiment,view
870975,experiment,view
555956,control,view
736927,control,view
914942,experiment,view
873405,control,view
677015,experiment,view
289090,experiment,view
906248,experiment,view
318765,control,view
749850,control,view
374814,experiment,view
762241,control,view
330256,control,view
492854,control,view
687527,experiment,view
646339,experiment,view
194822,experiment,view
414848,control,view
718479,experiment,view
862380,experiment,view
396566,experiment,view
323435,experiment,view
698900,experiment,view
295305,control,view
428737,control,view
666358,experiment,view
862893,control,view
416879,control,view
812036,control,view
803060,experiment,view
726584,experiment,view
846590,experiment,view
664679,control,view
213569,experiment,view
563003,experiment,view
772446,control,view
473946,experiment,view
584087,experiment,view
557883,control,view
715900,control,view
299179,control,view
875695,experiment,view
859734,experiment,view
727645,control,view
869191,experiment,view
430776,experiment,view
596332,experiment,view
471450,control,view
845980,experiment,view
886317,experiment,view
581842,control,view
906000,experiment,view
795425,experiment,view
393074,control,view
367895,experiment,view
547511,experiment,view
723862,control,view
375490,control,view
670168,experiment,view
433314,control,view
318421,experiment,view
482532,control,view
760437,experiment,view
431357,control,view
838924,control,view
238073,experiment,view
456573,experiment,view
282432,control,view
492266,control,view
564447,control,view
829734,experiment,view
439673,experiment,view
866152,control,view
921450,control,view
610182,experiment,view
802948,experiment,view
210193,control,view
446953,experiment,view
596327,control,view
470017,control,view
626556,control,view
442704,control,view
927797,control,view
786964,control,view
484328,control,view
505422,control,view
845361,control,view
832329,control,view
519914,control,view
687698,control,view
327156,experiment,view
433886,experiment,view
481110,experiment,view
501053,control,view
685814,control,view
490815,experiment,view
633108,control,view
719480,control,view
806668,experiment,view
195303,control,view
241203,experiment,view
246856,control,view
263460,experiment,view
893692,experiment,view
241827,control,view
760661,control,view
921250,experiment,view
633783,control,view
566668,experiment,view
512294,experiment,view
596389,control,view
484988,control,view
475815,control,view
865328,experiment,view
566815,experiment,view
820455,experiment,view
702090,control,view
725470,experiment,view
302886,experiment,view
449386,experiment,view
473996,control,view
577244,control,view
657331,experiment,view
929431,control,view
670241,control,view
614135,experiment,view
762527,experiment,view
460127,control,view
594232,control,view
710891,control,view
329500,control,view
376381,control,view
318271,control,view
196608,experiment,view
624013,control,view
420513,experiment,view
570600,experiment,view
701887,experiment,view
877741,control,view
313120,control,view
768882,control,view
773210,control,view
471562,control,view
843990,control,view
289182,control,view
453896,experiment,view
838466,experiment,view
766850,control,view
744360,control,view
687013,experiment,view
897354,control,view
645460,experiment,view
354352,experiment,view
636832,control,view
378970,control,view
694063,experiment,view
666657,control,view
297683,control,view
666092,experiment,view
330241,control,view
374216,control,view
691206,control,view
286958,control,view
634957,experiment,view
425856,experiment,view
900708,control,view
930913,control,view
865991,control,view
565380,control,view
184682,experiment,view
343914,control,view
329768,experiment,view
558881,control,view
574607,experiment,view
420346,experiment,view
799440,control,view
445584,control,view
252129,control,view
921712,experiment,view
849495,experiment,view
412408,control,view
314596,experiment,view
720579,control,view
446097,control,view
606601,experiment,view
807950,control,view
346710,control,view
692565,experiment,view
601459,control,view
771879,experiment,view
503538,experiment,view
860684,experiment,view
872270,control,view
868125,control,view
571474,control,view
426152,experiment,view
246972,control,view
612873,control,view
738102,experiment,view
730752,control,view
904757,control,view
693929,experiment,view
692245,experiment,view
434193,control,view
306003,experiment,view
500205,control,view
327369,experiment,view
397423,experiment,view
694235,control,view
787552,experiment,view
781763,experiment,view
321789,experiment,view
294501,control,view
226260,control,view
696944,experiment,view
224643,control,view
712888,experiment,view
627990,control,view
598659,experiment,view
390163,control,view
754922,control,view
492109,experiment,view
372984,control,view
516455,control,view
272362,experiment,view
619567,experiment,view
190169,experiment,view
541109,control,view
225221,experiment,view
626878,control,view
669040,control,view
374761,control,view
719297,experiment,view
900884,experiment,view
346520,control,view
642452,control,view
338084,control,view
903195,experiment,view
692337,control,view
645181,control,view
397041,control,view
273332,control,view
840264,control,view
568663,control,view
476834,control,view
474256,experiment,view
320062,experiment,view
342957,control,view
930275,control,view
731203,experiment,view
195654,control,view
654795,experiment,view
725921,control,view
572270,control,view
248798,control,view
579310,control,view
792173,control,view
912067,experiment,view
823008,experiment,view
198190,experiment,view
597434,experiment,view
365343,control,view
197312,experiment,view
922714,control,view
249160,control,view
500549,experiment,view
505752,control,view
288275,experiment,view
604012,control,view
476033,experiment,view
748963,control,view
652577,control,view
641949,experiment,view
881178,control,view
510453,experiment,view
279221,experiment,view
494315,control,view
797107,control,view
661592,experiment,view
198384,control,view
509840,experiment,view
793809,experiment,view
498983,experiment,view
233030,experiment,view
334902,control,view
475331,experiment,view
507047,control,view
412689,experiment,view
200819,experiment,view
660281,control,view
833288,control,view
445848,experiment,view
261559,control,view
223683,experiment,view
777587,experiment,view
680032,control,view
389065,experiment,view
226949,control,view
313130,control,view
317474,control,view
413918,experiment,view
783411,control,view
381657,control,view
555529,experiment,view
536500,experiment,view
374605,experiment,view
565455,control,view
287473,control,view
816502,control,view
351300,control,view
877780,experiment,view
893948,control,view
538183,control,view
427840,control,view
425583,experiment,view
738130,experiment,view
583221,control,view
491915,experiment,view
915781,experiment,view
706119,control,view
548188,experiment,view
592606,control,view
324313,experiment,view
719205,experiment,view
278664,control,view
650651,experiment,view
645921,control,view
252328,control,view
523286,control,view
313854,experiment,view
559487,experiment,view
191167,control,view
409567,experiment,view
665855,experiment,view
551517,experiment,view
407763,experiment,view
640361,control,view
530892,control,view
757452,control,view
456993,control,view
725448,control,view
774293,experiment,view
611083,experiment,view
532307,experiment,view
556760,control,view
587996,experiment,view
737773,experiment,view
779039,experiment,view
902224,control,view
413647,control,view
759182,experiment,view
310522,control,view
899074,experiment,view
633539,experiment,view
531779,experiment,view
902988,experiment,view
815548,control,view
648143,control,view
569855,experiment,view
628906,experiment,view
354245,experiment,view
656825,experiment,view
866389,experiment,view
199372,experiment,view
780295,experiment,view
673554,control,view
884664,control,view
931411,control,view
457052,control,view
863243,control,view
930077,experiment,view
498945,experiment,view
751262,control,view
615099,control,view
734529,control,view
881327,control,view
887975,control,view
783331,experiment,view
353824,experiment,view
446101,control,view
685917,experiment,view
416977,experiment,view
419775,experiment,view
771294,control,view
355702,control,view
384753,experiment,view
627250,control,view
381190,control,view
395512,experiment,view
546585,experiment,view
697576,control,view
815037,control,view
540433,experiment,view
212497,experiment,view
774358,experiment,view
765140,control,view
365841,experiment,view
911687,experiment,view
793850,control,view
480334,control,view
769418,experiment,view
326892,control,view
365168,control,view
414126,experiment,view
330558,experiment,view
630337,control,view
853031,control,view
215600,experiment,view
733562,experiment,view
738260,control,view
492859,experiment,view
923686,experiment,view
714975,control,view
761703,control,view
876428,control,view
188526,control,view
911112,control,view
295572,control,view
927192,control,view
525015,experiment,view
545533,control,view
545136,control,view
785382,control,view
318185,experiment,view
837417,control,view
230402,experiment,view
761096,control,view
440895,control,view
261703,control,view
643046,control,view
233866,experiment,view
480442,control,view
899285,experiment,view
384418,control,view
242284,experiment,view
453188,control,view
860016,experiment,view
782876,experiment,view
516810,control,view
287247,control,view
743899,control,view
467224,control,view
325784,experiment,view
309223,experiment,view
798282,control,view
895962,experiment,view
343985,experiment,view
492762,control,view
488191,control,view
682864,control,view
257431,experiment,view
313240,control,view
710143,control,view
470037,experiment,view
741873,control,view
706292,experiment,view
705035,experiment,view
600683,experiment,view
680308,experiment,view
613243,control,view
304889,control,view
833208,control,view
525496,experiment,view
335847,experiment,view
559551,experiment,view
683571,control,view
454424,control,view
596392,experiment,view
372864,control,view
273492,experiment,view
500982,control,view
863801,control,view
787627,control,view
715016,control,view
708058,control,view
791102,control,view
506476,experiment,view
686529,experiment,view
200294,experiment,view
618937,control,view
924691,experiment,view
201294,experiment,view
559902,control,view
866097,control,view
346401,experiment,view
625165,experiment,view
369048,control,view
516723,control,view
839370,experiment,view
882151,experiment,view
508278,experiment,view
399691,experiment,view
879765,control,view
329249,experiment,view
676633,experiment,view
586374,experiment,view
667596,control,view
685011,control,view
491106,control,view
362514,experiment,view
909025,experiment,view
639553,control,view
384579,control,view
709804,experiment,view
541044,experiment,view
308095,control,view
679659,experiment,view
304278,control,view
633554,control,view
856780,control,view
755352,control,view
772003,experiment,view
624167,experiment,view
449296,control,view
721303,control,view
835269,experiment,view
749903,experiment,view
728829,experiment,view
514743,experiment,view
266007,control,view
285612,control,view
553635,control,view
267345,experiment,view
631191,experiment,view
607982,control,view
446496,control,view
868756,control,view
228735,control,view
301071,control,view
276298,experiment,view
608293,experiment,view
196293,control,view
651967,experiment,view
626840,control,view
257251,control,view
624012,experiment,view
672219,control,view
230002,experiment,view
792317,control,view
651593,control,view
183515,control,view
279973,experiment,view
238573,experiment,view
291373,control,view
203554,control,view
384239,experiment,view
225738,experiment,view
270092,control,view
631991,control,view
512867,control,view
930753,experiment,view
313367,experiment,view
393010,control,view
311634,experiment,view
858663,control,view
426323,experiment,view
771693,control,view
697255,experiment,view
207069,experiment,view
283749,control,view
302105,control,view
616686,control,view
372089,control,view
596072,control,view
738558,experiment,view
785919,experiment,view
266970,control,view
814764,experiment,view
567132,control,view
195826,control,view
529240,control,view
741017,control,view
752489,experiment,view
742350,control,view
801828,experiment,view
243228,experiment,view
775624,control,view
214226,control,view
562947,control,view
189207,experiment,view
550508,control,view
775053,control,view
888500,experiment,view
377622,control,view
251311,experiment,view
746031,experiment,view
557155,control,view
545772,control,view
266389,experiment,view
532594,experiment,view
692273,control,view
248445,experiment,view
360509,control,view
214626,control,view
838655,control,view
252462,experiment,view
293915,control,view
399469,control,view
529646,control,view
563599,control,view
762325,experiment,view
676918,experiment,view
730664,experiment,view
872013,control,view
344084,control,view
383493,control,view
568992,experiment,view
788472,experiment,view
616261,experiment,view
502614,control,view
597939,control,view
281350,experiment,view
268728,experiment,view
790919,experiment,view
806909,control,view
845941,control,view
674424,control,view
829253,control,view
418938,experiment,view
822613,experiment,view
653221,control,view
230024,control,view
625846,control,view
642631,experiment,view
799825,experiment,view
307472,experiment,view
827426,experiment,view
535442,experiment,view
323488,control,view
396013,experiment,view
466498,control,view
374017,experiment,view
498676,control,view
314319,control,view
771556,experiment,view
879684,experiment,view
541979,control,view
740085,control,view
627932,experiment,view
520536,control,view
930712,control,view
209381,control,view
578586,control,view
337199,control,view
804459,control,view
616334,control,view
410380,control,view
346882,control,view
547648,experiment,view
685054,experiment,view
241706,control,view
826040,control,view
355318,experiment,view
770238,control,view
641536,control,view
784529,experiment,view
382358,experiment,view
654529,control,view
731928,control,view
582054,experiment,view
785832,control,view
926624,experiment,view
759778,control,view
351179,experiment,view
928618,experiment,view
680535,control,view
362125,experiment,view
287533,control,view
644773,experiment,view
412996,experiment,view
539229,control,view
577050,control,view
572061,control,view
784669,experiment,view
822774,experiment,view
717391,control,view
649166,experiment,view
866717,control,view
916472,control,view
201091,control,view
401472,experiment,view
902119,experiment,view
200816,control,view
807998,experiment,view
459239,control,view
898272,experiment,view
280693,experiment,view
753823,control,view
527714,experiment,view
287626,experiment,view
228001,experiment,view
330556,control,view
614936,control,view
837634,control,view
833484,experiment,view
908061,control,view
518627,experiment,view
557046,experiment,view
925750,control,view
891215,control,view
482289,control,view
619064,control,view
452224,experiment,view
591453,control,view
799987,experiment,view
369196,experiment,view
192999,experiment,view
554580,experiment,view
605785,control,view
536708,experiment,view
233764,experiment,view
779899,control,view
581419,experiment,view
393925,control,view
240621,experiment,view
885529,control,view
806439,control,view
487686,control,view
248946,control,view
306029,experiment,view
210674,experiment,view
884657,control,view
657845,control,view
462022,experiment,view
795530,control,view
362681,experiment,view
562420,control,view
857273,control,view
289114,control,view
650705,control,view
583471,control,view
207167,experiment,view
868373,experiment,view
327871,control,view
836360,control,view
650677,control,view
519413,control,view
925482,control,view
697660,experiment,view
481005,experiment,view
467585,experiment,view
776605,experiment,view
435295,control,view
726644,control,view
422763,experiment,view
187196,control,view
751528,control,view
455354,experiment,view
640154,experiment,view
324611,experiment,view
729485,control,view
446791,control,view
192706,experiment,view
646413,control,view
285328,control,view
296091,control,view
196707,experiment,view
395365,control,view
893702,experiment,view
775824,experiment,view
905778,control,view
186063,experiment,view
837568,experiment,view
493707,control,view
821486,control,view
526656,experiment,view
803406,control,view
225761,control,view
425274,control,view
370384,experiment,view
460957,control,view
183283,experiment,view
405355,control,view
749711,experiment,view
803260,control,view
637635,experiment,view
843973,experiment,view
229405,experiment,view
356895,control,view
883596,control,view
345517,experiment,view
837428,control,view
208018,experiment,view
899412,experiment,view
904342,control,view
455762,control,view
350694,control,view
694369,control,view
433679,control,view
361791,control,view
561679,experiment,view
424916,control,view
820336,control,view
629924,control,view
467818,experiment,view
496278,experiment,view
201792,control,view
617512,control,view
727627,experiment,view
283150,control,view
651508,control,view
533974,control,view
524226,control,view
460553,experiment,view
527179,experiment,view
527764,control,view
727670,experiment,view
708882,experiment,view
841894,control,view
689564,control,view
658477,experiment,view
265193,experiment,view
568845,experiment,view
259622,control,view
828974,control,view
